"tanggal","nama_kab_kota","kode_kab_kota","konfirmasi_total","konfirmasi_sembuh","konfirmasi_meninggal","konfirmasi_aktif","med_level","avg_delay","avg_speed_kmh","med_total_records"
2020-07-06,Kabupaten Purwakarta,"3214",32,21,1,10,2.0,111.96530915351764,22.19829252190786,8.0
2020-07-06,Kabupaten Subang,"3213",52,27,2,23,2.0,121.41312672309725,23.256512538246486,8.0
2020-07-06,Kabupaten Sukabumi,"3202",61,25,0,36,2.0,171.96136504180672,19.24261774795,10.0
2020-07-06,Kabupaten Sumedang,"3211",16,10,0,6,2.0,131.1073055949964,18.30744878919501,10.0
2020-07-06,Kabupaten Tasikmalaya,"3206",8,1,0,7,2.0,120.86970121210271,24.073174895662248,9.0
2020-07-06,Kota Bandung,"3273",421,235,42,144,3.0,101.68670832661462,13.59684700814557,11.0
2020-07-06,Kota Banjar,"3279",9,5,1,3,2.0,85.14057201809354,28.959823608398438,2.0
2020-07-06,Kota Bekasi,"3275",525,293,30,202,2.0,121.73982716106612,14.324753443473583,9.0
2020-07-06,Kota Bogor,"3271",182,101,16,65,2.0,104.64459233755593,17.34376218380072,9.0
2020-07-06,Kota Cimahi,"3277",127,64,1,62,3.0,67.96903559240964,9.3852331032454,22.0
2020-07-06,Kota Cirebon,"3274",29,7,1,21,3.0,101.38859872615083,16.01039857052742,6.0
2020-07-06,Kota Depok,"3276",820,444,38,338,2.0,125.64977007902222,15.41269755089849,10.0
2020-07-06,Kota Sukabumi,"3272",45,37,0,8,2.0,114.38579797744751,18.348352370783687,8.0
2020-07-06,Kota Tasikmalaya,"3278",24,19,2,3,2.0,83.37741928100586,18.887458641529083,8.5
2020-07-07,Kabupaten Bandung,"3204",122,56,6,60,2.0,105.32218201844395,15.354884408561471,11.0
2020-07-07,Kabupaten Bandung Barat,"3217",79,43,1,35,2.0,128.514140188694,19.009571557864547,10.0
2020-07-07,Kabupaten Bekasi,"3216",253,115,17,121,2.0,121.16090980642177,15.012342230027842,9.0
2020-07-07,Kabupaten Bogor,"3201",251,139,9,103,2.0,139.44477206468582,16.219926569305745,10.0
2020-07-07,Kabupaten Ciamis,"3207",11,5,0,6,2.0,110.96603768418878,28.906942262277976,8.0
2020-07-07,Kabupaten Cianjur,"3203",20,10,1,9,2.0,185.79471669514973,21.363441526095073,11.0
2020-07-07,Kabupaten Cirebon,"3209",18,4,2,12,2.0,104.31604961653197,20.501447028536813,8.0
2020-07-07,Kabupaten Garut,"3205",23,8,3,12,2.0,132.72461639751089,20.514119452681424,9.0
2020-07-07,Kabupaten Indramayu,"3212",36,10,3,23,2.0,141.4304014619414,25.229856984598655,9.0
2020-07-07,Kabupaten Karawang,"3215",43,12,1,30,2.0,134.10643258357723,19.9019118749971,9.0
2020-07-07,Kabupaten Kuningan,"3208",27,5,2,20,2.0,106.06872587094362,25.512389328287934,9.0
2020-07-07,Kabupaten Majalengka,"3210",7,2,1,4,2.0,129.08750159652143,23.97564458258358,8.0
2020-07-07,Kabupaten Pangandaran,"3218",17,2,0,15,2.0,148.54586219787598,26.413233478864033,6.5
2020-07-07,Kabupaten Purwakarta,"3214",34,21,1,12,2.0,124.05937976413303,20.609829088317024,9.0
2020-07-07,Kabupaten Subang,"3213",52,28,2,22,2.0,131.1595793788873,23.429864837127983,9.0
2020-07-07,Kabupaten Sukabumi,"3202",61,25,0,36,2.0,172.83676204655862,18.484433332759853,10.0
2020-07-07,Kabupaten Sumedang,"3211",16,10,0,6,2.0,143.06596610269833,19.44126982852625,10.0
2020-07-07,Kabupaten Tasikmalaya,"3206",8,1,0,7,2.0,118.10954187236307,22.76147941387061,10.0
2020-07-07,Kota Bandung,"3273",423,235,42,146,3.0,111.96718166604028,13.52421598448237,11.0
